SKU,NombreProducto,Ventas_Proyectadas_Regular,Ventas_Proyectadas_Cyber,Elasticidad_IA
81946,FACES GLOSS DOLCE CHERRY BF 12ML,5.2,8.6,-1.76
9481,FACES BLUSH COLOR ROSA 69 3G,2.6,3.2,-0.6
9483,FACES BLUSH COLOR BRONZE 47 3G,2.1,2.2,-0.21
140741,FACES DELINEADOR RETRATI WINE 280MG,1.0,1.1,-0.33
9009,"FACES RF PO COMP MATTE CLARO24 6,5G",1.1,1.8,-1.86
148406,LUMINA RF COND MASC CACHEADOS 250ML,3.9,5.2,-0.89
12172,FACES REFIL PO COMPACTO MEDIO 22,1.0,1.3,-0.92
110262,FACES MASCARAVOLUME CILIOS,2.1,3.6,-2.04
148405,LUMINA RF COND BRILHO COR 300ML,2.8,4.4,-1.5
106418,MMBB RF HID TRAD 200ML NV,3.5,6.9,-2.61
90176,FACES SECATIVO NEUTRALIZ SAVE ME UP,3.7,8.0,-3.09
95035,EKOS FLUIDO MASS MARAC ANGAT 100G,2.7,3.3,-0.61
134588,CHRONOS D REF AGUA MICELAR PS 150ML,2.0,2.9,-1.19
92549,UNA GLOSS LABIAL FPS15 PEROLA 100,2.0,2.4,-0.58
189401,TODODIA DES ROLLON ALGODAO 70ML,31.4,44.2,-1.1
86022,TODODIA SAB LIQUID AVELA CASSIS 300ML,3.8,6.1,-1.65
91192,TODODIA SAB LIQ MANGAROSA 300ML,7.3,12.0,-1.76
109141,FACES DELINEADOR RETRATIL BLACK INK,2.0,3.1,-1.36
19904,EKOS POLPA HID MAOS TUKUMA 75G LTM,10.2,16.0,-1.53
92807,MMBB OLEO BANHO HID PSE 200ML,3.2,5.3,-1.75
92795,MMBB SABONETE EM BARRA 5X100G BTV,5.1,9.2,-2.2
9921,FACES LAPIS PARA OLHOS MARROM,1.5,2.6,-1.96
147444,LUMINA COND ANTIQUEDA 300ML ES,2.7,4.0,-1.21
113243,EKOS SH MURUMURU ANGT 300ML,2.0,3.0,-1.4
113244,EKOS COND MURUMURU ANGT 300ML,1.7,2.9,-1.94
148403,LUMINA RF COND CR PENTEAR CACHOS 300ML,8.7,13.5,-1.48
56956,KAIAK URBE RF DES CORPORAL ARG NV,2.2,3.2,-1.14
148449,LUMINA COND SPRAY BRI COR 150ML PS,2.5,3.6,-1.22
3379,FACES BATOM COLOR HID FPS8 CORAL 805 ABM,1.0,1.2,-0.54
6422,FACES BAT COLOR HID FPS8 MARROM 470 ABM,1.2,2.0,-1.81
148440,LUMINA COND MASC CACHEADOS 250ML TERC PS,2.8,4.4,-1.56
147412,LUMINA RF SH NUTRICAO 300ML,4.6,7.4,-1.63
103593,TODODIA HID AGUA PREBIO MANGA ROSA 150ML,3.1,6.5,-2.96
78937,NATURA HOMEM SAB BARRA 3X110G,5.2,8.2,-1.59
110680,UNA RF PO COMP NUDE ME 21N 10G,1.0,1.3,-0.64
15353,UNA ESMALTE 3D GEL CONTORNO 590,1.1,1.2,-0.19
106416,MMBB SABONETE LIQUIDO RELAXANTE 200ML,3.3,5.8,-2.11
92576,UNA BLUSH REALCE ME RF BRONZ PEROLAD ARG,1.0,2.1,-2.88
92567,UNA LAPIS PRO LABIAL ROSE,1.0,2.0,-2.4
104882,UNA REF BASE HD 24F,1.0,2.0,-2.56
104878,UNA REF BASE HD 21Q 21C,1.2,2.0,-2.06
148425,LUMINA COND LEAVE IN SOLAR 150ML TERC PS,6.8,10.1,-1.3
8848,FACES CJ PO COMP MATTE CLARO 24,1.9,2.4,-0.67
148419,LUMINA SPRY REA CACH CRE 150ML PS,6.4,7.6,-0.52
118999,EKOS RF EDT ISHPINK 150ML LTM,2.4,3.1,-0.84
91217,TODODIA DEO CREME MANGAROSA 80G.,3.1,5.1,-1.74
147421,LUMINA SH ANTIQUEDA 300ML PS,4.1,6.3,-1.46
106121,UNA MASCAR CILIOS VOL MAGNIF PROVAG,2.0,3.0,-1.5
34262,UNA DELINEADOR CANETA PRETO REV NP,3.6,6.3,-2.01
106296,UNA SERUM LABIAL ROXO 1.8G,2.1,3.4,-1.62
112777,EKOS COND MASCARA FORT PATAUA ANGT 200G,6.9,11.4,-1.79
5852,TODODIA SAB LIQUID FRAMBOESA 300ML ARG,6.3,9.9,-1.53
2832,TODODIA SAB BARRA NOZPECA 5X90G TERC NV,20.5,22.1,-0.21
103152,FOTOEQ PROT SOL FAC GEL FPS30 50G LTM,1.3,1.9,-1.42
2821,TODODIA RF HID DES NOZ PEC 400MLNV,2.1,3.4,-1.7
71596,TODODIA RF HID DES CORP FLIMAO 400ML PM,6.0,7.9,-0.85
147447,LUMINA RF COND MASC NUTRICAO 250ML,4.1,6.0,-1.32
78906,NATURA HOMEM CREME DE BARBEAR 75G NV,6.1,10.2,-1.79
137981,CHRONOS D REF ESPUMA LIMPEZA PS 150ML,2.1,3.6,-1.89
110261,FACES MASCAR ALONGAMENTO CILIOS,2.5,4.0,-1.55
147401,LUMINA COND ANTIOLEOSIDADE 300ML ARG,1.6,2.9,-2.15
95757,UNA DELIN MATTE PEEL OFF PARA OLHOS,2.0,2.4,-0.55
109143,FACES DELINEADOR RETRATIL AZUL DEEP,1.6,2.1,-0.92
122122,UNA CORRET COB EXTR 10N 8ML,3.7,5.8,-1.51
95808,AGUAS COLONIA VIOLETA 150ML ARG,2.1,3.2,-1.4
95809,AGUAS COLONIA CITRICOS 150ML ARG NV,2.8,4.0,-1.17
124396,EKOS SAB BARRA MONOPACK ANDIROBA 4X100G,7.2,14.1,-2.6
116188,FACES BATOM MULTIMIX CREM VERMELHO HOT,2.0,2.1,-0.11
112784,EKOS RF OLEO DES HID TRIF PITA 200ML LTM,2.6,3.6,-1.1
72181,TODODIA HID PES FOLHA LIMAO 50ML PM,3.7,7.9,-3.08
70401,EKOS SAB LIQ MAOS MARA ANGT 250ML,3.0,4.2,-1.04
106123,UNA MASCARA CILIOS 2 EM 1,4.2,8.1,-2.56
70981,EKOS POLPA MAOS PES CASTANHA 60G NF,8.0,11.8,-1.31
80912,EKOS DES HID CORP UCUUBA 400ML ARG AVN,4.6,6.9,-1.38
147406,LUMINA RF COND CR PENTEAR NUTRICAO 250ML,2.9,4.2,-1.15
2835,TODODIA SAB BARRA FLIMAO 5X90G PM,5.3,6.9,-0.8
90965,CT TDIA SAB BAR MANGA COCO 5X90G CDXII,6.1,8.7,-1.13
148159,LUMINA COND AMPOLA MATIZACAO 20ML PS,3.0,3.9,-0.85
9910,FACES LAPIS PARA OLHOS PRETO,3.2,6.0,-2.42
28175,ERVA DOCE RF SABONETE LIQUIDO MAOS 250ML,8.0,13.1,-1.74
92791,MMBB RF SHAMPOO 200ML,9.3,15.0,-1.68
147451,LUMINA RF COND ANTIQUEDA 300ML,6.0,7.9,-0.89
70392,EKOS RF SAB LIQ ESF MARACUJA 185ML,8.1,14.4,-2.14
103150,FOTOEQ LOC PRO CRIANCA FPS50 200ML LTM,2.0,3.4,-1.97
69724,CHRONOS MASCARA ARGILA PELE OLEOSA,1.2,2.7,-3.51
17042,UNA CANETA DELIN SOBRAN CAST CLARO,1.4,2.0,-1.09
56747,KAIAK MASC DES CORPORAL,5.4,6.9,-0.76
92604,UNA GLOSS LABIAL FPS15 VERMELHO 100 SSG,1.1,2.0,-2.22
135057,CHRONOS D ESFOL TRIPLA ACAO PS 50G,12.7,14.0,-0.27
95034,EKOS HID MAOS PITG 75G COL,15.0,22.9,-1.41
153720,UNA BRUMA FACIAL HID FIXADORA 100ML,6.3,8.0,-0.73
92531,UNA BATOM CC HIDRAT FPS25 ROUGE 4C,1.0,2.1,-2.66
112779,EKOS REFIL SH PATAUA NFV 300ML LTM,8.0,12.8,-1.63
95133,EKOS POLPA HID MAOS CAST 40G,15.9,26.9,-1.88
134589,CHRONOS D REF AS 45 NOITE PS 40G,2.0,3.0,-1.43
203390,EKOS DES HID POLPA TUKUMA 400ML LTM,11.6,11.1,0.13
134591,CHRONOS D RF AS 30 FPS30 DIA 40G,2.6,6.4,-3.99
133503,CHRONOS D AGUA MICELAR PS 150ML,1.8,2.3,-0.78
112892,EKOS SERUM NOTUR CAP MURU ANGT 30ML,5.6,9.4,-1.85
148399,LUMINA RF COND RECONSTRUCAO 300ML,6.4,11.5,-2.13
133871,EKOS RYOS EDT VIVO 75ML ARG,1.9,1.9,-0.03
102402,NATURE COND CACHINHOS DEFINID 250ML,3.5,5.4,-1.47
75363,TODODIA DES HID FLIMAO P 400ML R ARG AVN,3.2,5.6,-2.06
70398,EKOS RF SAB LIQ GEL MARACUJA 195ML,4.1,7.1,-1.91
122113,UNA CORRET COB EXTR 21N 8ML,1.6,2.6,-1.66
5857,TODODIA SAB LIQUID FRUTAS VERM 300ML,8.4,12.5,-1.34
26441,ERVA DOCE SAB LIQ MAOS 250ML,3.7,5.9,-1.58
148158,LUMINA SH MATIZACAO 300ML ARG,8.4,11.8,-1.07
102395,NATURE SH CABELOS LISOS 250ML,4.8,7.5,-1.49
162099,TODODIA DES ROLLON LIMAO 70ML,19.0,27.1,-1.17
147448,LUMINA COND AMPOLA NUTRICAO 20ML PS,4.1,6.0,-1.19
96519,TODODIA DES CREME ALGODAO INVISIVEL 80G,5.1,6.8,-0.91
112781,EKOS REFIL COND PATAUA NFV 300ML LTM,4.4,7.2,-1.73
111332,CHRONOS BALM HIDRA TRAT OLHOS 15G,3.1,5.6,-2.2
106124,UNA MASCARA DE CILIOS SECRET 8ML,2.8,6.2,-3.19
147450,LUMINA RF SH ANTIQUEDA 300ML,9.5,13.6,-1.18
78909,NATURA HOMEM BALM POS BARBA 75ML NV,12.2,17.7,-1.23
147414,LUMINA RF SH HIDRATACAO 300ML,6.7,12.0,-2.18
78904,NAT HOMEM SHAMPOO 2 EM 1 300ML,9.6,14.8,-1.46
70723,UNA MAXXI PALETTE DE SOMBRAS INTENSA,2.7,3.5,-0.73
134700,CHRONOS D REF AS 60 FPS30 DIA PS 40G,3.8,5.9,-1.45
